21;HostName;TaskName;Next Run Time;Status;Logon Mode;Last Run Time;Last Result;Author;Task To Run;Start In;Comment;Scheduled Task State;Idle Time;Power Management;Run As User;Delete Task If Not Rescheduled;Stop Task If Runs X Hours and X Mins;Schedule;Schedule Type;Start Time;Start Date;End Date;Days;Months;Repeat: Every;Repeat: Until: Time;Repeat: Until: Duration;Repeat: Stop If Still Running
22;fcap09.falcon.local;\11_ScanKontrolle_Export_to_Excel_pro_Day;23.7.2014 19:15:00;Ready;Interactive/Background;22.7.2014 19:15:00;0;admin-pl;D:\Apps\Automation\Aktenscanning_Lokal\11_Export_Kontrolle_pro_Day\11_ScanKontrolle_Export_to_Excel_pro_Day.vbs ;D:\Apps\Automation\Aktenscanning_Lokal\11_Export_Kontrolle_pro_Day;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;19:15:00;14.11.2012;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
23;fcap09.falcon.local;\9_ScanKontrolle_WV_Ueberschreiben_HP_ES;28.7.2014 23:10:00;Ready;Interactive/Background;21.7.2014 23:10:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Lokal\9_Export_Kontrolle_WiederVorlage_Ueberschrieben\9_ScanKontrolle_WV_Ueberschreiben_HP_ES.bat ;D:\Apps\Automation\Aktenscanning_Lokal\9_Export_Kontrolle_WiederVorlage_Ueberschrieben;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;23:10:00;24.3.2014;N/A;MON;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
24;fcap09.falcon.local;\Aktanf_all_start_in;Disabled;Unknown;Interactive/Background;5.12.2012 16:03:21;0;admin-pl;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager\all_start_in.vbs ;D:\Apps\Automation\Akten_Anforderung_Bertrandt\1_Akt_Anf\import;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Daily ;0:32:00;21.11.2012;N/A;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
25;fcap09.falcon.local;\aktivnet_export_fi;26.7.2014 0:05:00;Ready;Interactive/Background;19.7.2014 0:05:00;0;admin-lr;D:\Apps\Automation\aktiv_export_fi.bat ;D:\Apps\Automation;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;0:05:00;9.3.2010;N/A;SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
26;fcap09.falcon.local;\aktiv_export_update_Mo_Do;24.7.2014 1:30:00;Ready;Interactive/Background;23.7.2014 1:30:00;0;admin-zj;D:\Apps\Automation\aktiv_export_update_Mo_Do.bat ;D:\Apps\Automation;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;1:30:00;15.11.2013;N/A;TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
27;fcap09.falcon.local;\aktiv_export_update_Weekend;27.7.2014 22:00:00;Ready;Interactive/Background;20.7.2014 22:00:00;0;admin-zj;D:\Apps\Automation\aktiv_net_update\aktiv_export_update_Weekend.bat ;D:\Apps\Automation\aktiv_net_update;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;22:00:00;7.5.2010;N/A;SUN;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
28;fcap09.falcon.local;\AUTOMATIC_LINDORFF_002;28.7.2014 2:00:00;Ready;Interactive/Background;21.7.2014 2:00:00;0;admin-zj;D:\Apps\Automation\AUTOMATIC_LINDORFF_002.bat ;D:\Apps\Automation;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj09;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;2:00:00;16.7.2010;N/A;MON;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
29;fcap09.falcon.local;\Auto_Dok_ins_DMS;Disabled;Unknown;Interactive/Background;17.9.2010 19:00:00;0;admin-zj;D:\Apps\Automation\Auto_Dok_ins_DMS.cmd ;D:\Apps\Automation;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;19:00:00;26.7.2010;19.9.2010;THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
30;fcap09.falcon.local;\AUTO_INX25_am_2tem_Monatlich;N/A;Could not start;Interactive/Background;3.9.2013 16:15:00;-1073741510;admin-zj09;D:\Apps\Automation\AUTOMATIC_LINDORFF\INX025_IN025_AUTO\AUTO_2te\AUTO_INX25_am_2tem_Monatlich.bat ;D:\Apps\Automation\AUTOMATIC_LINDORFF\INX025_IN025_AUTO\AUTO_2te;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj09;Enabled;72:00:00;Scheduling data is not available in this format.;One Time Only;16:15:00;3.9.2013;N/A;N/A;N/A;Disabled;Disabled;Disabled;Disabled
31;fcap09.falcon.local;\AUTO_Wiedervorlage_VW_P;Disabled;Unknown;Interactive/Background;2.3.2012 21:00:00;0;admin-zj;\\falcon.local\program\Ikaros\SQL-Skripte\Tagesaufgaben\VW\AUTO_Wiedervorlage_VW_P.vbs ;\\falcon.local\program\Ikaros\SQL-Skripte\Tagesaufgaben\VW;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;21:00:00;22.3.2010;N/A;MON, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
